Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	20:11 3/3/2020	170
Mike	20:24 3/3/2020	100
Tom	21:0 3/3/2020	147
Mike	21:0 3/3/2020	167
Jim	19:26 3/5/2020	0
Lana	19:26 3/5/2020	0
Mike	19:29 3/5/2020	0
Tom	19:31 3/5/2020	0
Tom	19:34 3/5/2020	0
Tom	19:43 3/5/2020	0
TomH	19:43 3/5/2020	0
Jim	19:45 3/5/2020	0
Lana	19:45 3/5/2020	0
Jim	23:42 3/5/2020	0
Jim	23:48 3/5/2020	0
Tom	23:48 3/5/2020	0
Lana	23:48 3/5/2020	0
Jim	23:51 3/5/2020	0
Jim	23:53 3/5/2020	0
Tom	0:0 3/6/2020	0
Mike	0:13 3/6/2020	0
Jim	0:52 3/6/2020	0
Lana	18:53 3/6/2020	0
Tom	18:55 3/6/2020	0
Jim	20:4 3/6/2020	0
Mike	20:36 3/6/2020	0
Jim	20:38 3/6/2020	0
Tom	20:49 3/6/2020	0
Jim	23:23 3/6/2020	0
Mike	23:35 3/6/2020	0
Tom	23:56 3/6/2020	0
Jim	23:57 3/6/2020	0
Jim	0:1 3/0/2020	0
Jim	0:3 3/0/2020	0
Jim	0:3 3/0/2020	0
Jim	0:6 3/0/2020	0
Tom	0:7 3/0/2020	0
Jim	0:10 3/0/2020	0
Jim	0:12 3/0/2020	0
Tom	0:14 3/0/2020	0
Tom	0:39 3/0/2020	0
Jim	1:17 3/0/2020	0
Jim	1:19 3/0/2020	0
Jim	1:20 3/0/2020	0
Jim	1:22 3/0/2020	0
Jim	1:24 3/0/2020	0
Mike	1:25 3/0/2020	0
Tom	1:26 3/0/2020	0
Tom	1:33 3/0/2020	0
Tom	1:36 3/0/2020	0
Lana	1:36 3/0/2020	0
TomH	1:36 3/0/2020	0
Jim	1:40 3/0/2020	0
Lana	1:40 3/0/2020	0
Jim	1:46 3/0/2020	0
Jim	2:1 3/0/2020	0
Jim	2:1 3/0/2020	0
Jim	4:21 3/0/2020	120
Alun	4:23 3/0/2020	110
Alun	4:24 3/0/2020	112
Alun	4:29 3/0/2020	138
Alun	4:33 3/0/2020	118
Alun	4:34 3/0/2020	142
Alun	4:37 3/0/2020	130
Alun	4:38 3/0/2020	150
Alun	4:57 3/0/2020	144
Alun	4:58 3/0/2020	122
Alun	4:59 3/0/2020	110
Tom	11:58 3/0/2020	92
Lana	12:1 3/0/2020	125
Jim	12:5 3/0/2020	136
Tom	12:6 3/0/2020	122
Tom	12:9 3/0/2020	118
Lana	12:11 3/0/2020	151
Lana	12:11 3/0/2020	124
Mike	11:53 3/0/2020	138
Mike	11:56 3/0/2020	142
Mike	11:57 3/0/2020	126
Alun	14:47 3/19/2020	180
Alun	14:48 3/19/2020	135
Alun	14:49 3/19/2020	184
Alun	14:52 3/19/2020	159
Alun	14:56 3/19/2020	99
Alun	14:59 3/19/2020	104
Gio	14:59 3/19/2020	163
Tom	14:59 3/19/2020	138
Alun	15:0 3/19/2020	129
Gio	15:0 3/19/2020	99
Tom	15:1 3/19/2020	107
Alun	15:2 3/19/2020	135
Gio	15:2 3/19/2020	100
Tom	15:2 3/19/2020	139
Alun	15:3 3/19/2020	125
Gio	15:3 3/19/2020	125
Tom	15:3 3/19/2020	154
Alun	15:7 3/19/2020	147
TomH	15:7 3/19/2020	105
Gio	15:7 3/19/2020	166
Alun	15:8 3/19/2020	135
TomH	15:8 3/19/2020	164
Gio	15:8 3/19/2020	133
Alun	15:9 3/19/2020	170
TomH	15:9 3/19/2020	109
Gio	15:9 3/19/2020	118
Alun	15:10 3/19/2020	79
TomH	15:10 3/19/2020	89
Gio	15:10 3/19/2020	125
Alun	15:15 3/19/2020	96
Gio	15:16 3/19/2020	134
TomH	15:16 3/19/2020	125
Alun	15:18 3/19/2020	136
Gio	15:19 3/19/2020	110
Lana	15:19 3/19/2020	118
Alun	15:22 3/19/2020	143
Gio	15:22 3/19/2020	157
Lana	15:22 3/19/2020	146
Alun	15:24 3/19/2020	135
Gio	15:24 3/19/2020	125
Lana	15:24 3/19/2020	143
Alun	15:31 3/19/2020	114
Gio	15:31 3/19/2020	111
TomH	15:31 3/19/2020	127
Alun	15:37 3/19/2020	85
Tom	15:37 3/19/2020	116
Lana	15:37 3/19/2020	138
Alun	15:38 3/19/2020	131
Tom	15:38 3/19/2020	134
Lana	15:38 3/19/2020	107
Mike	15:43 3/19/2020	20
Mike	15:45 3/19/2020	10
Mike	15:45 3/19/2020	169
Jim	15:46 3/19/2020	10
TomH	15:47 3/19/2020	10
TomH	15:47 3/19/2020	22
Tom	15:50 3/19/2020	9
Tom	15:51 3/19/2020	10
TomH	15:52 3/19/2020	8
Jim	15:54 3/19/2020	8
Lana	15:56 3/19/2020	19
Tom	15:59 3/19/2020	116
